2009-12-28T10:06:00Z,Embassy Kabul,"PGOV,EAID,UK,NO,SW,GM,HU,CA,NL,LH,FR,SP,IT,NZ ,AF"
2009-12-24T11:58:00Z,Embassy Madrid,"EAIR, ECON, EFIN, EINV, ENRG, SP"
2009-12-23T16:08:00Z,Embassy Madrid,"EINV, ENRG, EU, RU, SP, UK"
2009-12-23T15:29:00Z,Secretary of State,"ETTC, KOMC, SP, VN"
2009-12-23T04:34:00Z,Embassy Wellington,"PGOV, EAID, UK, NO, SW, GM, HU, CA, NL, LH, FR, SP, IT, NZ, EZ"
2009-12-22T16:38:00Z,Embassy Madrid,"PGOV, PINS, PTER, KJUS, SP"
2009-12-22T12:49:00Z,Embassy Madrid,"KIPR, SP"
2009-12-22T07:08:00Z,Embassy Madrid,"EAID, PGOV, PREL, AF, SP"
2009-12-21T07:40:00Z,Embassy Madrid,"PGOV, PREL, PTER, ASEC, SP"
2009-12-18T11:28:00Z,USEU Brussels,"MARR, MOPS, EAID, PINS, PGOV, PREL, EUN, SP, AF"
2009-12-18T07:05:00Z,Embassy Madrid,"ETTC, KOMC, SP, SW, MARR"
2009-12-17T22:00:00Z,Secretary of State,"PGOV, EAID, UK, NO, SW, GM, HU, CA, NL, LH, FR, SP, IT, NZ, EZ,"
2009-12-14T16:03:00Z,Embassy Madrid,"PHUM, SOCI, AORC, SP"
2009-12-14T12:30:00Z,Embassy Madrid,"CDG, ESA, EUN, KACT, KTIA, MCAP, PARM, PREL, TSPA, SP"
2009-12-10T09:27:00Z,Embassy Kabul,PGOV EAID UK NO SW GM HU CA NL LH FR SP IT NZ EZ PL TU AF
2009-12-09T12:09:00Z,Embassy Madrid,"PREL, PGOV, MARR, NATO, SP"
2009-12-07T15:41:00Z,Embassy Madrid,"ENRG, PREL, EINV, SP"
2009-12-04T17:41:00Z,Embassy Madrid,"ECON, EFIN, EINV, ELAB, SP"
2009-12-04T16:44:00Z,Embassy Madrid,"KIPR, PGOV, SP"
2009-12-04T07:03:00Z,Embassy Lisbon,"ECON, ECIN, EFIN, PREL, AN, XM, CU, DR, SP, PO"
2009-12-03T18:32:00Z,Embassy Madrid,"PREL, KPAL, KWBG, EAID, IS, SP"
2009-12-03T10:18:00Z,Embassy Madrid,"PREL, AF, IZ, KV, HO, VE, CU, SP"
2009-12-02T18:06:00Z,Embassy Madrid,"ECON, EINV, ENRG, EPET, ETTC, IR, SP"
2009-12-02T15:34:00Z,Embassy Madrid,"EAID, OPDC, PREL, /WBG, EU, IS, SP"
2009-12-02T13:46:00Z,Secretary of State,"ETTC, KOMC, KZ, SP"
2009-12-02T12:00:00Z,Embassy Madrid,"KIPR, ETRD, ECPS, SP"
2009-12-01T15:03:00Z,Embassy Madrid,"ECON, EIAD, PREL, SOCI, XF, XI, ZR, ZP, CN, PU, MV, SO, SP"
2009-12-01T09:17:00Z,Embassy Madrid,"PGOV, PREL, SP, CU, EUN"
2009-12-01T07:24:00Z,Embassy Madrid,"ECON, EIAD, PREL, SOCI, XF, XI, ZR, ZP, CN, PU, MV, SO, SP"
2009-11-27T13:10:00Z,Embassy Madrid,"PGOV, PREL, SNAR, KCRM, SP"
2009-11-27T12:52:00Z,Embassy Madrid,"PARM, PREL, PTER, KGIC, SP"
2009-11-27T12:19:00Z,Embassy Madrid,"ECPS, KIPR, SP"
2009-11-27T07:49:00Z,Embassy Madrid,"PREL, IR, SP, IAEA"
2009-11-27T07:49:00Z,Embassy Madrid,"AORC, KNNP, IAEA, ENRG, TRGY, SP"
2009-11-25T17:02:00Z,Consulate Barcelona,"PREL, PGOV, SP"
2009-11-25T16:17:00Z,Embassy Madrid,"PINR, PREL, SP"
2009-11-25T14:10:00Z,Embassy Madrid,"NATO, PREL, MOPS, MARR, AF, SP"
2009-11-24T10:58:00Z,Embassy Kabul,"KDEM, PGOV, PTER, AF, SP"
2009-11-24T10:46:00Z,Embassy Madrid,"PGOV, SP, EU, GR, MK, PREL"
2009-11-24T06:30:00Z,Embassy Madrid,"PREL, PINS, PTER, PINR, KHLS, KCIP, KCRM, SP, PGOV,"
2009-11-23T15:58:00Z,Embassy Madrid,"ETTC, KOMC, SP"
2009-11-23T10:31:00Z,Embassy Madrid,"CU, ETRD, ETTC, PREL, SP"
2009-11-23T09:02:00Z,Embassy Madrid,"PGOV, PREL, EU, BK, SP"
2009-11-21T15:22:00Z,Embassy Madrid,"SP, TPHY, KTBT, KSCI, PREL"
2009-11-21T15:19:00Z,Embassy Madrid,"PINR, PINS, PREL, PTER, SP"
2009-11-20T17:50:00Z,Secretary of State,"PINR, PGOV, PREL, SP"
2009-11-20T17:46:00Z,Secretary of State,"PINR, PREL, SP"
2009-11-20T16:22:00Z,Embassy Madrid,"ECON, ECPS, EFIN, EIND, EINV, ENRG, KIPR, PGOV, SP"
2009-11-20T15:02:00Z,Embassy Madrid,"PREL, UNGA, IS, PA, SP"
2009-11-19T16:58:00Z,Mission USNATO,"MOPS, PREL, MARR, MASS, NATO, AF, HU, RO, SP"
2009-11-17T09:06:00Z,Embassy Madrid,"PARM, PREL, CWC, SP"
2009-11-13T16:09:00Z,Embassy Madrid,"KIPR, ETRD, ECPS, SP"
2009-11-13T16:07:00Z,Embassy Madrid,"EAIR, ECON, EFIN, EINV, KGHG, SP"
2009-11-12T20:41:00Z,Secretary of State,"TSPA, FR, SP"
2009-11-10T16:49:00Z,Embassy Madrid,"PREL, HO, SP"
2009-11-09T19:03:00Z,Secretary of State,"ETTC, KOMC, SP, LY"
2009-11-06T19:39:00Z,Embassy Quito,"EPET, PREL, SENV, ECON, EC, GM, UK, SP"
2009-11-06T14:19:00Z,Consulate Barcelona,"PREL, PGOV, PHUM, PINR, SMIG, SOCI, SP, MO"
2009-11-06T13:14:00Z,Embassy Madrid,"ECON, EFIN, ELAB, KIPR, SP"
2009-11-06T11:27:00Z,Embassy Madrid,"EFIN, KNNP, MNUC, PARM, PREL, SP, IR"
2009-11-04T13:31:00Z,Embassy Madrid,"EAID, EFIN, PREL, SP, AF, PAK"
2009-11-04T10:48:00Z,Embassy Madrid,"KIPR, WIPO, SP"
2009-11-04T10:48:00Z,Embassy Madrid,"KIPR, ETRD, ECPS, SP"
2009-11-02T17:29:00Z,Embassy Madrid,"PINR, PINS, PREL, PTER, SP"
2009-11-02T08:23:00Z,Embassy Madrid,"USUN, PREL, SP, UNGA/C-5, UNGA, AORC, APER, KAWC,"
2009-10-30T14:09:00Z,Embassy Madrid,"ECON, EFIN, EIND, EINV, ENRG, KGHG, SP"
2009-10-28T15:29:00Z,Embassy Madrid,"ETRD, KIPR, EINV, ECPS, KCRM, SP"
2009-10-28T15:11:00Z,Embassy Paris,"ENRG, OTRA, TRGY, TECH, OECD, FR, SP, IO"
2009-10-28T12:08:00Z,Embassy Madrid,"ETTC, KOMC, SP"
2009-10-26T17:07:00Z,Embassy Madrid,"KDEM, KMPI, KPAO, OPDC, PREL, SP"
2009-10-23T15:07:00Z,Embassy Madrid,"PHUM, PREL, UN, SP, IS, KPAL"
2009-10-23T14:35:00Z,Embassy Madrid,"MTCRE, ETTC, KSCA, MNUC, PARM, TSPA, PREL, SP"
2009-10-23T14:26:00Z,Embassy Madrid,"PREL, EU, SP"
2009-10-23T13:10:00Z,Embassy Madrid,"BEXP, ECON, EIND, EINV, ELAB, SP"
2009-10-23T10:08:00Z,Embassy Madrid,"EFIN, SP"
2009-10-23T08:25:00Z,Embassy Madrid,"ECON, ETRD, KIPR, EUN, SP"
2009-10-23T08:10:00Z,Embassy Bishkek,"PGOV, PREL, KG, FR, SP"
2009-10-22T19:29:00Z,Secretary of State,"ETTC, KOMC, SP, SW"
2009-10-20T16:05:00Z,Embassy Madrid,"PREL, MOPS, KIPR, SP, AF, KV, BK, LE, IR, CU, HO"
2009-10-20T14:38:00Z,Embassy Madrid,"ETTC, KOMC, SP, ID"
2009-10-20T12:38:00Z,Embassy Madrid,"PGOV, PTER, SP, PINS"
2009-10-19T11:22:00Z,Embassy Madrid,"PGOV, PREL, ECON, EU, SP"
2009-10-19T10:11:00Z,Embassy Pristina,"PGOV, PREL, KV, HU, SP"
2009-10-19T05:05:00Z,Embassy Madrid,"KPKO, MARR, MOPS, PGOV, PREL, IT, LE, IS, SP"
2009-10-17T11:55:00Z,Embassy Madrid,"PARM, PREL, PTER, KGIC, SP"
2009-10-16T15:24:00Z,Embassy Madrid,"MARR, PREL, SR, MW, SP"
2009-10-16T13:55:00Z,Embassy Madrid,"ECON, EFIN, EIND, ENRG, SP"
2009-10-16T13:43:00Z,Embassy Madrid,"AORC, IMO.EWWT, PHSA, UK, SP"
2009-10-16T12:38:00Z,Embassy Warsaw,"EAGR, ECON, ETRD, EUN, TBIO, SP"
2009-10-16T11:04:00Z,Embassy Madrid,"EAGR, ECON, ETRD, TBIO, EUN, SP"
2009-10-16T05:13:00Z,Embassy Madrid,"PGOV, PREL, PHUM, HO, SP"
2009-10-15T08:56:00Z,Embassy Madrid,"KNNP, MNUC, PARM, PREL, IR, SP"
2009-10-15T08:05:00Z,Embassy Madrid,"PGOV, SP, PINS"
2009-10-15T05:18:00Z,Embassy Madrid,"PREL, PINR, KCRM, KCOR, KJUS, SP, RS"
2009-10-14T18:32:00Z,Secretary of State,"PINR, ECON, EFIN, SP"
2009-10-13T13:52:00Z,Embassy Madrid,"ETTC, KOMC, SP"
2009-10-08T20:20:00Z,Secretary of State,"KGCN, KPAO, PARM, PGOV, PREL, SENV, SP"
2009-10-08T05:00:00Z,Embassy Madrid,"AORC, PREL, PTER, KNNP, IAEA, ENRG, TRGY, SP"
2009-10-07T19:27:00Z,Embassy Madrid,"PGOV, PREL, CU, SP, CR"
2009-10-06T15:04:00Z,Embassy Madrid,"KIPR, ETRD, ECPS, KCRM, SP"
2009-10-06T14:22:00Z,Embassy Madrid,"ECON, EINV, PGOV, PREL, SP"
2009-10-06T11:10:00Z,Embassy Madrid,"AORC, PREL, KFLU, WHO, SP"
2009-10-01T13:28:00Z,Secretary of State,"ETTC, KOMC, SP"
2009-10-01T00:35:00Z,Secretary of State,"PTER, PREL, PGOV, KHLS, UK, SP, GM, FR, IT, AS,"
